Hour:,total number of Shipment:, Total Miles Driven: ,Truck 0's coordinates ,Truck 1's coordinates ,Truck 2's coordinates ,Truck 3's coordinates ,Truck 4's coordinates ,Truck 5's coordinates ,Truck 6's coordinates ,Truck 7's coordinates ,Truck 8's coordinates ,Truck 9's coordinates ,Truck 10's coordinates ,Truck 11's coordinates ,Truck 12's coordinates ,Truck 13's coordinates ,Truck 14's coordinates ,Truck 15's coordinates ,Truck 16's coordinates ,Truck 17's coordinates ,Truck 18's coordinates ,Truck 19's coordinates ,
210,365,32728.41307557886,(198.41517770333866:115.038865341962),(308.7081155170677:45.96203620984992),(292.8765560899404:196.3272932010575),(143.0028610442933:36.64520743619827),(370.89993256194816:70.50550113901768),(251.51165310970316:55.39036004792075),(294.91700529362225:192.37776764690068),(301.7375307099716:155.75730056280918),(336.0369059466728:50.80176614972651),(353.38550636744884:187.71799958053586),(99.54872173816266:111.4811505732359),(195.62666902763317:72.6742457925185),(306.7882607190237:118.15990450720932),(209.0576269365945:42.37094854985067),(189.63611234029662:223.4019620389458),(313.42071814271907:69.04598856519686),(266.8128898362191:87.57291366178717),(284.144549025708:191.8541494922011),(109.73905042334144:196.64237266497014),(200.9579954193553:79.80874102326297),
211,369,32956.987702958926,(198.41517770333866:115.038865341962),(308.7081155170677:45.96203620984992),(292.8765560899404:196.3272932010575),(143.0028610442933:36.64520743619827),(370.89993256194816:70.50550113901768),(251.51165310970316:55.39036004792075),(294.91700529362225:192.37776764690068),(301.7375307099716:155.75730056280918),(336.0369059466728:50.80176614972651),(353.38550636744884:187.71799958053586),(99.54872173816266:111.4811505732359),(192.0893359303965:74.54167037177035),(306.7882607190237:118.15990450720932),(209.0576269365945:42.37094854985067),(189.63611234029662:223.4019620389458),(313.42071814271907:69.04598856519686),(266.8128898362191:87.57291366178717),(284.144549025708:191.8541494922011),(109.73905042334144:196.64237266497014),(200.9579954193553:79.80874102326297),
212,373,33025.984722952366,(198.41517770333866:115.038865341962),(308.7081155170677:45.96203620984992),(292.8765560899404:196.3272932010575),(143.0028610442933:36.64520743619827),(370.89993256194816:70.50550113901768),(251.51165310970316:55.39036004792075),(294.91700529362225:192.37776764690068),(301.7375307099716:155.75730056280918),(336.0369059466728:50.80176614972651),(353.38550636744884:187.71799958053586),(99.54872173816266:111.4811505732359),(192.0893359303965:74.54167037177035),(304.36708679092607:114.97589495793025),(209.0576269365945:42.37094854985067),(189.63611234029662:223.4019620389458),(313.42071814271907:69.04598856519686),(266.8128898362191:87.57291366178717),(284.144549025708:191.8541494922011),(109.73905042334144:196.64237266497014),(200.9579954193553:79.80874102326297),
213,377,33263.65409822633,(198.41517770333866:115.038865341962),(308.7081155170677:45.96203620984992),(292.8765560899404:196.3272932010575),(143.0028610442933:36.64520743619827),(370.89993256194816:70.50550113901768),(251.51165310970316:55.39036004792075),(294.91700529362225:192.37776764690068),(301.7375307099716:155.75730056280918),(336.0369059466728:50.80176614972651),(353.38550636744884:187.71799958053586),(99.54872173816266:111.4811505732359),(192.0893359303965:74.54167037177035),(304.36708679092607:114.97589495793025),(203.06338963025394:42.10804340483573),(189.63611234029662:223.4019620389458),(313.42071814271907:69.04598856519686),(266.8128898362191:87.57291366178717),(284.144549025708:191.8541494922011),(109.73905042334144:196.64237266497014),(200.9579954193553:79.80874102326297),
214,381,33511.65608650516,(198.41517770333866:115.038865341962),(308.7081155170677:45.96203620984992),(292.8765560899404:196.3272932010575),(143.0028610442933:36.64520743619827),(370.89993256194816:70.50550113901768),(251.51165310970316:55.39036004792075),(294.91700529362225:192.37776764690068),(301.7375307099716:155.75730056280918),(336.0369059466728:50.80176614972651),(353.38550636744884:187.71799958053586),(99.54872173816266:111.4811505732359),(192.0893359303965:74.54167037177035),(304.36708679092607:114.97589495793025),(203.06338963025394:42.10804340483573),(195.5997235743263:222.74215824284042),(313.42071814271907:69.04598856519686),(266.8128898362191:87.57291366178717),(284.144549025708:191.8541494922011),(109.73905042334144:196.64237266497014),(200.9579954193553:79.80874102326297),
215,385,33584.60020644519,(198.41517770333866:115.038865341962),(308.7081155170677:45.96203620984992),(292.8765560899404:196.3272932010575),(143.0028610442933:36.64520743619827),(370.89993256194816:70.50550113901768),(251.51165310970316:55.39036004792075),(294.91700529362225:192.37776764690068),(301.7375307099716:155.75730056280918),(336.0369059466728:50.80176614972651),(353.38550636744884:187.71799958053586),(99.54872173816266:111.4811505732359),(192.0893359303965:74.54167037177035),(304.36708679092607:114.97589495793025),(203.06338963025394:42.10804340483573),(195.5997235743263:222.74215824284042),(315.56278995699097:74.65058742171655),(266.8128898362191:87.57291366178717),(284.144549025708:191.8541494922011),(109.73905042334144:196.64237266497014),(200.9579954193553:79.80874102326297),
216,389,33597.06351477527,(198.41517770333866:115.038865341962),(308.7081155170677:45.96203620984992),(292.8765560899404:196.3272932010575),(143.0028610442933:36.64520743619827),(370.89993256194816:70.50550113901768),(251.51165310970316:55.39036004792075),(294.91700529362225:192.37776764690068),(301.7375307099716:155.75730056280918),(336.0369059466728:50.80176614972651),(353.38550636744884:187.71799958053586),(99.54872173816266:111.4811505732359),(192.0893359303965:74.54167037177035),(304.36708679092607:114.97589495793025),(203.06338963025394:42.10804340483573),(195.5997235743263:222.74215824284042),(315.56278995699097:74.65058742171655),(264.78170480892226:79.8350659387517),(284.144549025708:191.8541494922011),(109.73905042334144:196.64237266497014),(200.9579954193553:79.80874102326297),
217,393,33950.82132856113,(198.41517770333866:115.038865341962),(308.7081155170677:45.96203620984992),(292.8765560899404:196.3272932010575),(143.0028610442933:36.64520743619827),(370.89993256194816:70.50550113901768),(251.51165310970316:55.39036004792075),(294.91700529362225:192.37776764690068),(301.7375307099716:155.75730056280918),(336.0369059466728:50.80176614972651),(353.38550636744884:187.71799958053586),(99.54872173816266:111.4811505732359),(192.0893359303965:74.54167037177035),(304.36708679092607:114.97589495793025),(203.06338963025394:42.10804340483573),(195.5997235743263:222.74215824284042),(315.56278995699097:74.65058742171655),(264.78170480892226:79.8350659387517),(276.216823538562:190.78122423830163),(109.73905042334144:196.64237266497014),(200.9579954193553:79.80874102326297),
218,397,34057.93252087108,(198.41517770333866:115.038865341962),(308.7081155170677:45.96203620984992),(292.8765560899404:196.3272932010575),(143.0028610442933:36.64520743619827),(370.89993256194816:70.50550113901768),(251.51165310970316:55.39036004792075),(294.91700529362225:192.37776764690068),(301.7375307099716:155.75730056280918),(336.0369059466728:50.80176614972651),(353.38550636744884:187.71799958053586),(99.54872173816266:111.4811505732359),(192.0893359303965:74.54167037177035),(304.36708679092607:114.97589495793025),(203.06338963025394:42.10804340483573),(195.5997235743263:222.74215824284042),(315.56278995699097:74.65058742171655),(264.78170480892226:79.8350659387517),(276.216823538562:190.78122423830163),(102.61295546567558:193.00660993146715),(200.9579954193553:79.80874102326297),
219,401,34212.02239572212,(198.41517770333866:115.038865341962),(308.7081155170677:45.96203620984992),(292.8765560899404:196.3272932010575),(143.0028610442933:36.64520743619827),(370.89993256194816:70.50550113901768),(251.51165310970316:55.39036004792075),(294.91700529362225:192.37776764690068),(301.7375307099716:155.75730056280918),(336.0369059466728:50.80176614972651),(353.38550636744884:187.71799958053586),(99.54872173816266:111.4811505732359),(192.0893359303965:74.54167037177035),(304.36708679092607:114.97589495793025),(203.06338963025394:42.10804340483573),(195.5997235743263:222.74215824284042),(315.56278995699097:74.65058742171655),(264.78170480892226:79.8350659387517),(276.216823538562:190.78122423830163),(102.61295546567558:193.00660993146715),(191.05379496129083:81.18961512558927),
