Hour:,total number of Shipment:, Total Miles Driven: ,Truck 0's coordinates ,Truck 1's coordinates ,Truck 2's coordinates ,Truck 3's coordinates ,Truck 4's coordinates ,Truck 5's coordinates ,Truck 6's coordinates ,Truck 7's coordinates ,Truck 8's coordinates ,Truck 9's coordinates ,Truck 10's coordinates ,Truck 11's coordinates ,Truck 12's coordinates ,Truck 13's coordinates ,Truck 14's coordinates ,Truck 15's coordinates ,Truck 16's coordinates ,Truck 17's coordinates ,Truck 18's coordinates ,Truck 19's coordinates ,
110,37,17728.787772454943,(188.68100602000297:112.74847200470654),(309.2953357365824:35.97929247809995),(282.9326669581493:195.26943265512227),(153.00156056961453:36.806476783380866),(379.1272359428808:64.82118243946421),(241.733628968929:57.4856509352295),(275.8638210692485:186.29696417103673),(320.9477440236209:161.32216394335046),(356.020130516367:49.98278153621446),(365.0:204.0),(80.6629391299069:104.89880940358321),(213.31333451381659:63.33712289625927),(318.89413035951185:134.07995225360466),(239.02881346829724:43.68547427492533),(159.81805617014828:226.7009810194729),(302.7103590713595:41.02299428259843),(276.96881497270317:126.26215227696453),(289.872611141445:193.1898088913156),(145.36952521167072:214.82118633248507),(250.4789977096777:72.90437051163148),
111,39,17982.375122038728,(188.68100602000297:112.74847200470654),(309.2953357365824:35.97929247809995),(282.9326669581493:195.26943265512227),(153.00156056961453:36.806476783380866),(379.1272359428808:64.82118243946421),(241.733628968929:57.4856509352295),(275.8638210692485:186.29696417103673),(320.9477440236209:161.32216394335046),(356.020130516367:49.98278153621446),(365.0:204.0),(80.6629391299069:104.89880940358321),(209.7760014165799:65.20454747551112),(318.89413035951185:134.07995225360466),(239.02881346829724:43.68547427492533),(159.81805617014828:226.7009810194729),(302.7103590713595:41.02299428259843),(276.96881497270317:126.26215227696453),(289.872611141445:193.1898088913156),(145.36952521167072:214.82118633248507),(250.4789977096777:72.90437051163148),
112,41,18068.492427062065,(188.68100602000297:112.74847200470654),(309.2953357365824:35.97929247809995),(282.9326669581493:195.26943265512227),(153.00156056961453:36.806476783380866),(379.1272359428808:64.82118243946421),(241.733628968929:57.4856509352295),(275.8638210692485:186.29696417103673),(320.9477440236209:161.32216394335046),(356.020130516367:49.98278153621446),(365.0:204.0),(80.6629391299069:104.89880940358321),(209.7760014165799:65.20454747551112),(316.4729564314142:130.8959427043256),(239.02881346829724:43.68547427492533),(159.81805617014828:226.7009810194729),(302.7103590713595:41.02299428259843),(276.96881497270317:126.26215227696453),(289.872611141445:193.1898088913156),(145.36952521167072:214.82118633248507),(250.4789977096777:72.90437051163148),
113,43,18348.547460809583,(188.68100602000297:112.74847200470654),(309.2953357365824:35.97929247809995),(282.9326669581493:195.26943265512227),(153.00156056961453:36.806476783380866),(379.1272359428808:64.82118243946421),(241.733628968929:57.4856509352295),(275.8638210692485:186.29696417103673),(320.9477440236209:161.32216394335046),(356.020130516367:49.98278153621446),(365.0:204.0),(80.6629391299069:104.89880940358321),(209.7760014165799:65.20454747551112),(316.4729564314142:130.8959427043256),(233.0345761619567:43.4225691299104),(159.81805617014828:226.7009810194729),(302.7103590713595:41.02299428259843),(276.96881497270317:126.26215227696453),(289.872611141445:193.1898088913156),(145.36952521167072:214.82118633248507),(250.4789977096777:72.90437051163148),
114,45,18638.718548527835,(188.68100602000297:112.74847200470654),(309.2953357365824:35.97929247809995),(282.9326669581493:195.26943265512227),(153.00156056961453:36.806476783380866),(379.1272359428808:64.82118243946421),(241.733628968929:57.4856509352295),(275.8638210692485:186.29696417103673),(320.9477440236209:161.32216394335046),(356.020130516367:49.98278153621446),(365.0:204.0),(80.6629391299069:104.89880940358321),(209.7760014165799:65.20454747551112),(316.4729564314142:130.8959427043256),(233.0345761619567:43.4225691299104),(165.78166740417794:226.04117722336747),(302.7103590713595:41.02299428259843),(276.96881497270317:126.26215227696453),(289.872611141445:193.1898088913156),(145.36952521167072:214.82118633248507),(250.4789977096777:72.90437051163148),
115,47,18726.80940352447,(188.68100602000297:112.74847200470654),(309.2953357365824:35.97929247809995),(282.9326669581493:195.26943265512227),(153.00156056961453:36.806476783380866),(379.1272359428808:64.82118243946421),(241.733628968929:57.4856509352295),(275.8638210692485:186.29696417103673),(320.9477440236209:161.32216394335046),(356.020130516367:49.98278153621446),(365.0:204.0),(80.6629391299069:104.89880940358321),(209.7760014165799:65.20454747551112),(316.4729564314142:130.8959427043256),(233.0345761619567:43.4225691299104),(165.78166740417794:226.04117722336747),(304.8524308856314:46.62759313911812),(276.96881497270317:126.26215227696453),(289.872611141445:193.1898088913156),(145.36952521167072:214.82118633248507),(250.4789977096777:72.90437051163148),
116,49,18753.635358921012,(188.68100602000297:112.74847200470654),(309.2953357365824:35.97929247809995),(282.9326669581493:195.26943265512227),(153.00156056961453:36.806476783380866),(379.1272359428808:64.82118243946421),(241.733628968929:57.4856509352295),(275.8638210692485:186.29696417103673),(320.9477440236209:161.32216394335046),(356.020130516367:49.98278153621446),(365.0:204.0),(80.6629391299069:104.89880940358321),(209.7760014165799:65.20454747551112),(316.4729564314142:130.8959427043256),(233.0345761619567:43.4225691299104),(165.78166740417794:226.04117722336747),(304.8524308856314:46.62759313911812),(274.93762994540634:118.52430455392906),(289.872611141445:193.1898088913156),(145.36952521167072:214.82118633248507),(250.4789977096777:72.90437051163148),
117,51,18767.957649596206,(188.68100602000297:112.74847200470654),(309.2953357365824:35.97929247809995),(282.9326669581493:195.26943265512227),(153.00156056961453:36.806476783380866),(379.1272359428808:64.82118243946421),(241.733628968929:57.4856509352295),(275.8638210692485:186.29696417103673),(320.9477440236209:161.32216394335046),(356.020130516367:49.98278153621446),(365.0:204.0),(80.6629391299069:104.89880940358321),(209.7760014165799:65.20454747551112),(316.4729564314142:130.8959427043256),(233.0345761619567:43.4225691299104),(165.78166740417794:226.04117722336747),(304.8524308856314:46.62759313911812),(274.93762994540634:118.52430455392906),(297.847133369734:193.8277706695787),(145.36952521167072:214.82118633248507),(250.4789977096777:72.90437051163148),
118,53,18925.457942585603,(188.68100602000297:112.74847200470654),(309.2953357365824:35.97929247809995),(282.9326669581493:195.26943265512227),(153.00156056961453:36.806476783380866),(379.1272359428808:64.82118243946421),(241.733628968929:57.4856509352295),(275.8638210692485:186.29696417103673),(320.9477440236209:161.32216394335046),(356.020130516367:49.98278153621446),(365.0:204.0),(80.6629391299069:104.89880940358321),(209.7760014165799:65.20454747551112),(316.4729564314142:130.8959427043256),(233.0345761619567:43.4225691299104),(165.78166740417794:226.04117722336747),(304.8524308856314:46.62759313911812),(274.93762994540634:118.52430455392906),(297.847133369734:193.8277706695787),(138.24343025400486:211.18542359898208),(250.4789977096777:72.90437051163148),
119,55,19149.581090497923,(188.68100602000297:112.74847200470654),(309.2953357365824:35.97929247809995),(282.9326669581493:195.26943265512227),(153.00156056961453:36.806476783380866),(379.1272359428808:64.82118243946421),(241.733628968929:57.4856509352295),(275.8638210692485:186.29696417103673),(320.9477440236209:161.32216394335046),(356.020130516367:49.98278153621446),(365.0:204.0),(80.6629391299069:104.89880940358321),(209.7760014165799:65.20454747551112),(316.4729564314142:130.8959427043256),(233.0345761619567:43.4225691299104),(165.78166740417794:226.04117722336747),(304.8524308856314:46.62759313911812),(274.93762994540634:118.52430455392906),(297.847133369734:193.8277706695787),(138.24343025400486:211.18542359898208),(240.57479725161323:74.28524461395779),
120,57,19277.31143672433,(190.6278403566701:113.20655067215763),(309.2953357365824:35.97929247809995),(282.9326669581493:195.26943265512227),(153.00156056961453:36.806476783380866),(379.1272359428808:64.82118243946421),(241.733628968929:57.4856509352295),(275.8638210692485:186.29696417103673),(320.9477440236209:161.32216394335046),(356.020130516367:49.98278153621446),(365.0:204.0),(80.6629391299069:104.89880940358321),(209.7760014165799:65.20454747551112),(316.4729564314142:130.8959427043256),(233.0345761619567:43.4225691299104),(165.78166740417794:226.04117722336747),(304.8524308856314:46.62759313911812),(274.93762994540634:118.52430455392906),(297.847133369734:193.8277706695787),(138.24343025400486:211.18542359898208),(240.57479725161323:74.28524461395779),
121,59,19290.457026589815,(190.6278403566701:113.20655067215763),(309.17789169267945:37.975841224449944),(282.9326669581493:195.26943265512227),(153.00156056961453:36.806476783380866),(379.1272359428808:64.82118243946421),(241.733628968929:57.4856509352295),(275.8638210692485:186.29696417103673),(320.9477440236209:161.32216394335046),(356.020130516367:49.98278153621446),(365.0:204.0),(80.6629391299069:104.89880940358321),(209.7760014165799:65.20454747551112),(316.4729564314142:130.8959427043256),(233.0345761619567:43.4225691299104),(165.78166740417794:226.04117722336747),(304.8524308856314:46.62759313911812),(274.93762994540634:118.52430455392906),(297.847133369734:193.8277706695787),(138.24343025400486:211.18542359898208),(240.57479725161323:74.28524461395779),
122,61,19406.51776200539,(190.6278403566701:113.20655067215763),(309.17789169267945:37.975841224449944),(284.9214447845075:195.48100476430932),(153.00156056961453:36.806476783380866),(379.1272359428808:64.82118243946421),(241.733628968929:57.4856509352295),(275.8638210692485:186.29696417103673),(320.9477440236209:161.32216394335046),(356.020130516367:49.98278153621446),(365.0:204.0),(80.6629391299069:104.89880940358321),(209.7760014165799:65.20454747551112),(316.4729564314142:130.8959427043256),(233.0345761619567:43.4225691299104),(165.78166740417794:226.04117722336747),(304.8524308856314:46.62759313911812),(274.93762994540634:118.52430455392906),(297.847133369734:193.8277706695787),(138.24343025400486:211.18542359898208),(240.57479725161323:74.28524461395779),
123,63,19564.91188796989,(190.6278403566701:113.20655067215763),(309.17789169267945:37.975841224449944),(284.9214447845075:195.48100476430932),(151.00182066455028:36.77422291394435),(379.1272359428808:64.82118243946421),(241.733628968929:57.4856509352295),(275.8638210692485:186.29696417103673),(320.9477440236209:161.32216394335046),(356.020130516367:49.98278153621446),(365.0:204.0),(80.6629391299069:104.89880940358321),(209.7760014165799:65.20454747551112),(316.4729564314142:130.8959427043256),(233.0345761619567:43.4225691299104),(165.78166740417794:226.04117722336747),(304.8524308856314:46.62759313911812),(274.93762994540634:118.52430455392906),(297.847133369734:193.8277706695787),(138.24343025400486:211.18542359898208),(240.57479725161323:74.28524461395779),
124,65,19706.513183003244,(190.6278403566701:113.20655067215763),(309.17789169267945:37.975841224449944),(284.9214447845075:195.48100476430932),(151.00182066455028:36.77422291394435),(377.4817752666943:65.9580461793749),(241.733628968929:57.4856509352295),(275.8638210692485:186.29696417103673),(320.9477440236209:161.32216394335046),(356.020130516367:49.98278153621446),(365.0:204.0),(80.6629391299069:104.89880940358321),(209.7760014165799:65.20454747551112),(316.4729564314142:130.8959427043256),(233.0345761619567:43.4225691299104),(165.78166740417794:226.04117722336747),(304.8524308856314:46.62759313911812),(274.93762994540634:118.52430455392906),(297.847133369734:193.8277706695787),(138.24343025400486:211.18542359898208),(240.57479725161323:74.28524461395779),
125,67,19729.517305525977,(190.6278403566701:113.20655067215763),(309.17789169267945:37.975841224449944),(284.9214447845075:195.48100476430932),(151.00182066455028:36.77422291394435),(377.4817752666943:65.9580461793749),(243.68923379708383:57.06659275776775),(275.8638210692485:186.29696417103673),(320.9477440236209:161.32216394335046),(356.020130516367:49.98278153621446),(365.0:204.0),(80.6629391299069:104.89880940358321),(209.7760014165799:65.20454747551112),(316.4729564314142:130.8959427043256),(233.0345761619567:43.4225691299104),(165.78166740417794:226.04117722336747),(304.8524308856314:46.62759313911812),(274.93762994540634:118.52430455392906),(297.847133369734:193.8277706695787),(138.24343025400486:211.18542359898208),(240.57479725161323:74.28524461395779),
126,69,19763.65101711371,(190.6278403566701:113.20655067215763),(309.17789169267945:37.975841224449944),(284.9214447845075:195.48100476430932),(151.00182066455028:36.77422291394435),(377.4817752666943:65.9580461793749),(243.68923379708383:57.06659275776775),(279.67445791412325:187.51312486620952),(320.9477440236209:161.32216394335046),(356.020130516367:49.98278153621446),(365.0:204.0),(80.6629391299069:104.89880940358321),(209.7760014165799:65.20454747551112),(316.4729564314142:130.8959427043256),(233.0345761619567:43.4225691299104),(165.78166740417794:226.04117722336747),(304.8524308856314:46.62759313911812),(274.93762994540634:118.52430455392906),(297.847133369734:193.8277706695787),(138.24343025400486:211.18542359898208),(240.57479725161323:74.28524461395779),
127,71,20087.432021786637,(190.6278403566701:113.20655067215763),(309.17789169267945:37.975841224449944),(284.9214447845075:195.48100476430932),(151.00182066455028:36.77422291394435),(377.4817752666943:65.9580461793749),(243.68923379708383:57.06659275776775),(279.67445791412325:187.51312486620952),(317.10570136089103:160.2091912672422),(356.020130516367:49.98278153621446),(365.0:204.0),(80.6629391299069:104.89880940358321),(209.7760014165799:65.20454747551112),(316.4729564314142:130.8959427043256),(233.0345761619567:43.4225691299104),(165.78166740417794:226.04117722336747),(304.8524308856314:46.62759313911812),(274.93762994540634:118.52430455392906),(297.847133369734:193.8277706695787),(138.24343025400486:211.18542359898208),(240.57479725161323:74.28524461395779),
128,73,20226.053419748463,(190.6278403566701:113.20655067215763),(309.17789169267945:37.975841224449944),(284.9214447845075:195.48100476430932),(151.00182066455028:36.77422291394435),(377.4817752666943:65.9580461793749),(243.68923379708383:57.06659275776775),(279.67445791412325:187.51312486620952),(317.10570136089103:160.2091912672422),(352.02348560242814:50.14657845891687),(365.0:204.0),(80.6629391299069:104.89880940358321),(209.7760014165799:65.20454747551112),(316.4729564314142:130.8959427043256),(233.0345761619567:43.4225691299104),(165.78166740417794:226.04117722336747),(304.8524308856314:46.62759313911812),(274.93762994540634:118.52430455392906),(297.847133369734:193.8277706695787),(138.24343025400486:211.18542359898208),(240.57479725161323:74.28524461395779),
129,75,20377.374270922384,(190.6278403566701:113.20655067215763),(309.17789169267945:37.975841224449944),(284.9214447845075:195.48100476430932),(151.00182066455028:36.77422291394435),(377.4817752666943:65.9580461793749),(243.68923379708383:57.06659275776775),(279.67445791412325:187.51312486620952),(317.10570136089103:160.2091912672422),(352.02348560242814:50.14657845891687),(362.67710127348977:200.74359991610717),(80.6629391299069:104.89880940358321),(209.7760014165799:65.20454747551112),(316.4729564314142:130.8959427043256),(233.0345761619567:43.4225691299104),(165.78166740417794:226.04117722336747),(304.8524308856314:46.62759313911812),(274.93762994540634:118.52430455392906),(297.847133369734:193.8277706695787),(138.24343025400486:211.18542359898208),(240.57479725161323:74.28524461395779),
130,77,20779.487598690175,(190.6278403566701:113.20655067215763),(309.17789169267945:37.975841224449944),(284.9214447845075:195.48100476430932),(151.00182066455028:36.77422291394435),(377.4817752666943:65.9580461793749),(243.68923379708383:57.06659275776775),(279.67445791412325:187.51312486620952),(317.10570136089103:160.2091912672422),(352.02348560242814:50.14657845891687),(362.67710127348977:200.74359991610717),(84.44009565155805:106.21527763751375),(209.7760014165799:65.20454747551112),(316.4729564314142:130.8959427043256),(233.0345761619567:43.4225691299104),(165.78166740417794:226.04117722336747),(304.8524308856314:46.62759313911812),(274.93762994540634:118.52430455392906),(297.847133369734:193.8277706695787),(138.24343025400486:211.18542359898208),(240.57479725161323:74.28524461395779),
131,79,21028.072403833216,(190.6278403566701:113.20655067215763),(309.17789169267945:37.975841224449944),(284.9214447845075:195.48100476430932),(151.00182066455028:36.77422291394435),(377.4817752666943:65.9580461793749),(243.68923379708383:57.06659275776775),(279.67445791412325:187.51312486620952),(317.10570136089103:160.2091912672422),(352.02348560242814:50.14657845891687),(362.67710127348977:200.74359991610717),(84.44009565155805:106.21527763751375),(206.23866831934322:67.07197205476297),(316.4729564314142:130.8959427043256),(233.0345761619567:43.4225691299104),(165.78166740417794:226.04117722336747),(304.8524308856314:46.62759313911812),(274.93762994540634:118.52430455392906),(297.847133369734:193.8277706695787),(138.24343025400486:211.18542359898208),(240.57479725161323:74.28524461395779),
132,81,21110.765651850572,(190.6278403566701:113.20655067215763),(309.17789169267945:37.975841224449944),(284.9214447845075:195.48100476430932),(151.00182066455028:36.77422291394435),(377.4817752666943:65.9580461793749),(243.68923379708383:57.06659275776775),(279.67445791412325:187.51312486620952),(317.10570136089103:160.2091912672422),(352.02348560242814:50.14657845891687),(362.67710127348977:200.74359991610717),(84.44009565155805:106.21527763751375),(206.23866831934322:67.07197205476297),(314.0517825033166:127.71193315504652),(233.0345761619567:43.4225691299104),(165.78166740417794:226.04117722336747),(304.8524308856314:46.62759313911812),(274.93762994540634:118.52430455392906),(297.847133369734:193.8277706695787),(138.24343025400486:211.18542359898208),(240.57479725161323:74.28524461395779),
133,83,21382.34355390338,(190.6278403566701:113.20655067215763),(309.17789169267945:37.975841224449944),(284.9214447845075:195.48100476430932),(151.00182066455028:36.77422291394435),(377.4817752666943:65.9580461793749),(243.68923379708383:57.06659275776775),(279.67445791412325:187.51312486620952),(317.10570136089103:160.2091912672422),(352.02348560242814:50.14657845891687),(362.67710127348977:200.74359991610717),(84.44009565155805:106.21527763751375),(206.23866831934322:67.07197205476297),(314.0517825033166:127.71193315504652),(227.04033885561614:43.15966398489547),(165.78166740417794:226.04117722336747),(304.8524308856314:46.62759313911812),(274.93762994540634:118.52430455392906),(297.847133369734:193.8277706695787),(138.24343025400486:211.18542359898208),(240.57479725161323:74.28524461395779),
134,85,21664.080821733747,(190.6278403566701:113.20655067215763),(309.17789169267945:37.975841224449944),(284.9214447845075:195.48100476430932),(151.00182066455028:36.77422291394435),(377.4817752666943:65.9580461793749),(243.68923379708383:57.06659275776775),(279.67445791412325:187.51312486620952),(317.10570136089103:160.2091912672422),(352.02348560242814:50.14657845891687),(362.67710127348977:200.74359991610717),(84.44009565155805:106.21527763751375),(206.23866831934322:67.07197205476297),(314.0517825033166:127.71193315504652),(227.04033885561614:43.15966398489547),(171.7452786382076:225.38137342726205),(304.8524308856314:46.62759313911812),(274.93762994540634:118.52430455392906),(297.847133369734:193.8277706695787),(138.24343025400486:211.18542359898208),(240.57479725161323:74.28524461395779),
135,87,21749.14232971906,(190.6278403566701:113.20655067215763),(309.17789169267945:37.975841224449944),(284.9214447845075:195.48100476430932),(151.00182066455028:36.77422291394435),(377.4817752666943:65.9580461793749),(243.68923379708383:57.06659275776775),(279.67445791412325:187.51312486620952),(317.10570136089103:160.2091912672422),(352.02348560242814:50.14657845891687),(362.67710127348977:200.74359991610717),(84.44009565155805:106.21527763751375),(206.23866831934322:67.07197205476297),(314.0517825033166:127.71193315504652),(227.04033885561614:43.15966398489547),(171.7452786382076:225.38137342726205),(306.9945026999033:52.232191995637805),(274.93762994540634:118.52430455392906),(297.847133369734:193.8277706695787),(138.24343025400486:211.18542359898208),(240.57479725161323:74.28524461395779),
136,89,21773.09575570231,(190.6278403566701:113.20655067215763),(309.17789169267945:37.975841224449944),(284.9214447845075:195.48100476430932),(151.00182066455028:36.77422291394435),(377.4817752666943:65.9580461793749),(243.68923379708383:57.06659275776775),(279.67445791412325:187.51312486620952),(317.10570136089103:160.2091912672422),(352.02348560242814:50.14657845891687),(362.67710127348977:200.74359991610717),(84.44009565155805:106.21527763751375),(206.23866831934322:67.07197205476297),(314.0517825033166:127.71193315504652),(227.04033885561614:43.15966398489547),(171.7452786382076:225.38137342726205),(306.9945026999033:52.232191995637805),(272.9064449181095:110.78645683089358),(297.847133369734:193.8277706695787),(138.24343025400486:211.18542359898208),(240.57479725161323:74.28524461395779),
137,92,21776.140368888813,(190.6278403566701:113.20655067215763),(309.17789169267945:37.975841224449944),(284.9214447845075:195.48100476430932),(151.00182066455028:36.77422291394435),(377.4817752666943:65.9580461793749),(243.68923379708383:57.06659275776775),(279.67445791412325:187.51312486620952),(317.10570136089103:160.2091912672422),(352.02348560242814:50.14657845891687),(362.67710127348977:200.74359991610717),(84.44009565155805:106.21527763751375),(206.23866831934322:67.07197205476297),(314.0517825033166:127.71193315504652),(227.04033885561614:43.15966398489547),(171.7452786382076:225.38137342726205),(306.9945026999033:52.232191995637805),(272.9064449181095:110.78645683089358),(300.0:194.0),(138.24343025400486:211.18542359898208),(240.57479725161323:74.28524461395779),
138,95,21923.56284174232,(190.6278403566701:113.20655067215763),(309.17789169267945:37.975841224449944),(284.9214447845075:195.48100476430932),(151.00182066455028:36.77422291394435),(377.4817752666943:65.9580461793749),(243.68923379708383:57.06659275776775),(279.67445791412325:187.51312486620952),(317.10570136089103:160.2091912672422),(352.02348560242814:50.14657845891687),(362.67710127348977:200.74359991610717),(84.44009565155805:106.21527763751375),(206.23866831934322:67.07197205476297),(314.0517825033166:127.71193315504652),(227.04033885561614:43.15966398489547),(171.7452786382076:225.38137342726205),(306.9945026999033:52.232191995637805),(272.9064449181095:110.78645683089358),(300.0:194.0),(131.117335296339:207.5496608654791),(240.57479725161323:74.28524461395779),
139,98,22133.679335042387,(190.6278403566701:113.20655067215763),(309.17789169267945:37.975841224449944),(284.9214447845075:195.48100476430932),(151.00182066455028:36.77422291394435),(377.4817752666943:65.9580461793749),(243.68923379708383:57.06659275776775),(279.67445791412325:187.51312486620952),(317.10570136089103:160.2091912672422),(352.02348560242814:50.14657845891687),(362.67710127348977:200.74359991610717),(84.44009565155805:106.21527763751375),(206.23866831934322:67.07197205476297),(314.0517825033166:127.71193315504652),(227.04033885561614:43.15966398489547),(171.7452786382076:225.38137342726205),(306.9945026999033:52.232191995637805),(272.9064449181095:110.78645683089358),(300.0:194.0),(131.117335296339:207.5496608654791),(230.67059679354875:75.66611871628407),
140,101,22258.656441746185,(192.57467469333724:113.66462933960872),(309.17789169267945:37.975841224449944),(284.9214447845075:195.48100476430932),(151.00182066455028:36.77422291394435),(377.4817752666943:65.9580461793749),(243.68923379708383:57.06659275776775),(279.67445791412325:187.51312486620952),(317.10570136089103:160.2091912672422),(352.02348560242814:50.14657845891687),(362.67710127348977:200.74359991610717),(84.44009565155805:106.21527763751375),(206.23866831934322:67.07197205476297),(314.0517825033166:127.71193315504652),(227.04033885561614:43.15966398489547),(171.7452786382076:225.38137342726205),(306.9945026999033:52.232191995637805),(272.9064449181095:110.78645683089358),(300.0:194.0),(131.117335296339:207.5496608654791),(230.67059679354875:75.66611871628407),
141,104,22271.635940651962,(192.57467469333724:113.66462933960872),(309.0604476487765:39.97238997079994),(284.9214447845075:195.48100476430932),(151.00182066455028:36.77422291394435),(377.4817752666943:65.9580461793749),(243.68923379708383:57.06659275776775),(279.67445791412325:187.51312486620952),(317.10570136089103:160.2091912672422),(352.02348560242814:50.14657845891687),(362.67710127348977:200.74359991610717),(84.44009565155805:106.21527763751375),(206.23866831934322:67.07197205476297),(314.0517825033166:127.71193315504652),(227.04033885561614:43.15966398489547),(171.7452786382076:225.38137342726205),(306.9945026999033:52.232191995637805),(272.9064449181095:110.78645683089358),(300.0:194.0),(131.117335296339:207.5496608654791),(230.67059679354875:75.66611871628407),
142,107,22384.884119492956,(192.57467469333724:113.66462933960872),(309.0604476487765:39.97238997079994),(286.91022261086573:195.69257687349636),(151.00182066455028:36.77422291394435),(377.4817752666943:65.9580461793749),(243.68923379708383:57.06659275776775),(279.67445791412325:187.51312486620952),(317.10570136089103:160.2091912672422),(352.02348560242814:50.14657845891687),(362.67710127348977:200.74359991610717),(84.44009565155805:106.21527763751375),(206.23866831934322:67.07197205476297),(314.0517825033166:127.71193315504652),(227.04033885561614:43.15966398489547),(171.7452786382076:225.38137342726205),(306.9945026999033:52.232191995637805),(272.9064449181095:110.78645683089358),(300.0:194.0),(131.117335296339:207.5496608654791),(230.67059679354875:75.66611871628407),
143,110,22540.450186162496,(192.57467469333724:113.66462933960872),(309.0604476487765:39.97238997079994),(286.91022261086573:195.69257687349636),(149.00208075948603:36.741969044507826),(377.4817752666943:65.9580461793749),(243.68923379708383:57.06659275776775),(279.67445791412325:187.51312486620952),(317.10570136089103:160.2091912672422),(352.02348560242814:50.14657845891687),(362.67710127348977:200.74359991610717),(84.44009565155805:106.21527763751375),(206.23866831934322:67.07197205476297),(314.0517825033166:127.71193315504652),(227.04033885561614:43.15966398489547),(171.7452786382076:225.38137342726205),(306.9945026999033:52.232191995637805),(272.9064449181095:110.78645683089358),(300.0:194.0),(131.117335296339:207.5496608654791),(230.67059679354875:75.66611871628407),
144,113,22679.724448391233,(192.57467469333724:113.66462933960872),(309.0604476487765:39.97238997079994),(286.91022261086573:195.69257687349636),(149.00208075948603:36.741969044507826),(375.83631459050775:67.0949099192856),(243.68923379708383:57.06659275776775),(279.67445791412325:187.51312486620952),(317.10570136089103:160.2091912672422),(352.02348560242814:50.14657845891687),(362.67710127348977:200.74359991610717),(84.44009565155805:106.21527763751375),(206.23866831934322:67.07197205476297),(314.0517825033166:127.71193315504652),(227.04033885561614:43.15966398489547),(171.7452786382076:225.38137342726205),(306.9945026999033:52.232191995637805),(272.9064449181095:110.78645683089358),(300.0:194.0),(131.117335296339:207.5496608654791),(230.67059679354875:75.66611871628407),
145,116,22699.962928043347,(192.57467469333724:113.66462933960872),(309.0604476487765:39.97238997079994),(286.91022261086573:195.69257687349636),(149.00208075948603:36.741969044507826),(375.83631459050775:67.0949099192856),(245.64483862523866:56.647534580306),(279.67445791412325:187.51312486620952),(317.10570136089103:160.2091912672422),(352.02348560242814:50.14657845891687),(362.67710127348977:200.74359991610717),(84.44009565155805:106.21527763751375),(206.23866831934322:67.07197205476297),(314.0517825033166:127.71193315504652),(227.04033885561614:43.15966398489547),(171.7452786382076:225.38137342726205),(306.9945026999033:52.232191995637805),(272.9064449181095:110.78645683089358),(300.0:194.0),(131.117335296339:207.5496608654791),(230.67059679354875:75.66611871628407),
146,119,22728.70758532378,(192.57467469333724:113.66462933960872),(309.0604476487765:39.97238997079994),(286.91022261086573:195.69257687349636),(149.00208075948603:36.741969044507826),(375.83631459050775:67.0949099192856),(245.64483862523866:56.647534580306),(283.485094758998:188.7292855613823),(317.10570136089103:160.2091912672422),(352.02348560242814:50.14657845891687),(362.67710127348977:200.74359991610717),(84.44009565155805:106.21527763751375),(206.23866831934322:67.07197205476297),(314.0517825033166:127.71193315504652),(227.04033885561614:43.15966398489547),(171.7452786382076:225.38137342726205),(306.9945026999033:52.232191995637805),(272.9064449181095:110.78645683089358),(300.0:194.0),(131.117335296339:207.5496608654791),(230.67059679354875:75.66611871628407),
147,122,23047.05512115586,(192.57467469333724:113.66462933960872),(309.0604476487765:39.97238997079994),(286.91022261086573:195.69257687349636),(149.00208075948603:36.741969044507826),(375.83631459050775:67.0949099192856),(245.64483862523866:56.647534580306),(283.485094758998:188.7292855613823),(313.2636586981612:159.09621859113395),(352.02348560242814:50.14657845891687),(362.67710127348977:200.74359991610717),(84.44009565155805:106.21527763751375),(206.23866831934322:67.07197205476297),(314.0517825033166:127.71193315504652),(227.04033885561614:43.15966398489547),(171.7452786382076:225.38137342726205),(306.9945026999033:52.232191995637805),(272.9064449181095:110.78645683089358),(300.0:194.0),(131.117335296339:207.5496608654791),(230.67059679354875:75.66611871628407),
148,125,23180.024409676404,(192.57467469333724:113.66462933960872),(309.0604476487765:39.97238997079994),(286.91022261086573:195.69257687349636),(149.00208075948603:36.741969044507826),(375.83631459050775:67.0949099192856),(245.64483862523866:56.647534580306),(283.485094758998:188.7292855613823),(313.2636586981612:159.09621859113395),(348.0268406884893:50.31037538161928),(362.67710127348977:200.74359991610717),(84.44009565155805:106.21527763751375),(206.23866831934322:67.07197205476297),(314.0517825033166:127.71193315504652),(227.04033885561614:43.15966398489547),(171.7452786382076:225.38137342726205),(306.9945026999033:52.232191995637805),(272.9064449181095:110.78645683089358),(300.0:194.0),(131.117335296339:207.5496608654791),(230.67059679354875:75.66611871628407),
